T,training_seed,evaluation_seed,method,n,n_design_replicates,design_replicates_per_system,design_replication_note,terminal_eig_mean,terminal_eig_std,ci95_low,ci95_high,seconds,offline_training_or_calibration_seconds,training_time_seconds,online_seconds_per_rollout,n_unique_sequences,eval_seed,timing_scope
3,202,1004,rl_sboed_eig,512,512,1,one deterministic design per held-out system,6.845606275044156,0.23221179620773727,6.825491954412332,6.865720595675981,2.3499055460561067,1039.950719287037,1039.950719287037,0.004589659269640833,30,1004,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1004,step_dad,512,512,1,one deterministic design per held-out system,6.832000245112992,0.24790230247584935,6.810526803716819,6.853473686509165,3149.0103356540203,1199.8118668339448,1199.8118668339448,6.150410811824258,96,1004,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1004,myopic_delta_h,512,512,1,one deterministic design per held-out system,6.705824072733941,0.368571603986556,6.673898186368809,6.737749959099074,3.2015998009592295,0.0,0.0,0.006253124611248495,468,1004,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1004,fixed_open_loop,512,512,1,one deterministic design per held-out system,6.275638783430626,0.6952772752269024,6.21541346210619,6.335864104755062,0.19328213692642748,0.07339554105419666,0.07339554105419666,0.0003775041736844287,1,1004,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1004,random,512,16384,32,expected performance averaged over randomized designs,3.8026217356121226,1.197701933204173,3.6988760986580314,3.906367372566214,7.091558387037367,0.0,0.0,0.00043283437420882365,12511,1004,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1005,dad_eig,512,512,1,one deterministic design per held-out system,6.843202059455098,0.2454147432093794,6.821944091887101,6.864460027023096,2.673655239981599,1199.8118668339448,1199.8118668339448,0.005221982890589061,21,1005,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1005,rl_sboed_eig,512,512,1,one deterministic design per held-out system,6.858931915532514,0.22125191427763,6.839766946237828,6.8780968848272,2.383435839903541,1039.950719287037,1039.950719287037,0.004655148124811603,31,1005,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1005,step_dad,512,512,1,one deterministic design per held-out system,6.8406480939918275,0.2491738372710629,6.819064511513319,6.862231676470336,3165.6509631030494,1199.8118668339448,1199.8118668339448,6.182912037310643,92,1005,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1005,myopic_delta_h,512,512,1,one deterministic design per held-out system,6.698040804513675,0.3781305477418864,6.665286916889621,6.730794692137729,3.20427807001397,0.0,0.0,0.006258355605496035,476,1005,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1005,fixed_open_loop,512,512,1,one deterministic design per held-out system,6.283612532845128,0.6953890970681551,6.223377525447868,6.343847540242388,0.19320529303513467,0.07339554105419666,0.07339554105419666,0.0003773540879592474,1,1005,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1005,random,512,16384,32,expected performance averaged over randomized designs,3.7742809261887436,1.2163626415613418,3.668918887840568,3.8796429645369193,7.048778755939566,0.0,0.0,0.000430223312740452,12572,1005,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,303,1001,dad_eig,512,512,1,one deterministic design per held-out system,6.837699973298868,0.24599946359462632,6.816391356911557,6.859008589686179,2.604454969987273,1224.802324348013,1224.802324348013,0.005086826113256393,23,1001,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,303,1001,rl_sboed_eig,512,512,1,one deterministic design per held-out system,6.844543912429077,0.24465684502370771,6.82335159444203,6.865736230416124,2.375185933895409,1048.2897721959744,1048.2897721959744,0.004639035027139471,30,1001,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,303,1001,step_dad,512,512,1,one deterministic design per held-out system,6.838451452691357,0.24466049154748964,6.817258818840304,6.859644086542411,3178.6328006139956,1224.802324348013,1224.802324348013,6.20826718869921,109,1001,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
